| Component | Arduino Pin | ESP Pin | Description |
|-----------|-------------|---------|-------------|
| WARNING | - | - | NEVER connect Arduino pins directly to ESP pins! Arduino uses 5V logic, ESP uses 3.3V. Use level shifters to prevent damage. Power supplies must be separate. |
| PIR Sensor (Signal) | 2 | - | Connect PIR signal to Arduino pin 2. Power PIR with 5V and GND. |
| Ultrasonic Sensor (Trig) | 3 | - | Trigger pin of HC-SR04 ultrasonic sensor. |
| Ultrasonic Sensor (Echo) | 4 | - | Echo pin of HC-SR04 ultrasonic sensor. Power sensor with 5V and GND. |
| Buzzer | 9 | - | Positive terminal of buzzer. Negative to GND. |
| LCD I2C (SDA) | A4 (Uno) or 20 (Mega) | - | I2C data line for 16x2 LCD (address 0x27). |
| LCD I2C (SCL) | A5 (Uno) or 21 (Mega) | - | I2C clock line for 16x2 LCD. Power LCD with 5V and GND. |
| Level Shifter (TX) | - | - | Use a bidirectional logic level shifter (3.3V-5V) for Arduino TX to ESP RX communication. |
| Arduino TX | 1 | Level Shifter (HV) | Connect Arduino TX to the high-voltage side of the level shifter. |
| ESP RX | - | Level Shifter (LV) | Connect ESP RX (e.g., GPIO3 on ESP8266) to the low-voltage side of the level shifter. |
| Arduino RX | 0 | Level Shifter (HV) | Optional: Connect Arduino RX to high-voltage side for two-way communication. |
| ESP TX | - | Level Shifter (LV) | Optional: Connect ESP TX (e.g., GPIO1 on ESP8266) to low-voltage side. |
| Power Supply | - | - | Power Arduino separately (5V/7-12V). Power ESP separately with 3.3V. Connect GNDs together. |
| ESP WiFi | - | - | ESP connects wirelessly to the Flask server on port 5000. Ensure ESP has WiFi credentials in its code. |
